record_id,status,place,photo_title,selection_reason,creator,provider,capture_or_publication_date,checked_at,source_page_url,image_url,thumbnail_url,source_file_url,license,license_url,crop_allowed_by_source,crop_and_use_conditions,credit,verification_notes,local_asset_path,user_rights_approval,tourapi_scope,input_record
west-01,적용 예정 후보,철원 노동당사,"Korean Workers' Party Headquarters, Cheorwon (2026-05) (1)",철원 노동당사 정면 외관으로 장소 일치. 적용 예정 후보.,Sadopaul / Gyuwon Lee,Wikimedia Commons,2026-05-16,2026-09-08,"https://commons.wikimedia.org/wiki/File:Korean_Workers%27_Party_Headquarters,_Cheorwon_(2026-05)_(1).jpg",https://upload.wikimedia.org/wikipedia/commons/c/c9/Korean_Workers%27_Party_Headquarters%2C_Cheorwon_%282026-05%29_%281%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c9/Korean_Workers%27_Party_Headquarters%2C_Cheorwon_%282026-05%29_%281%29.jpg/1280px-Korean_Workers%27_Party_Headquarters%2C_Cheorwon_%282026-05%29_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,가능(조건 준수 필요),"저작자·원문·라이선스 표시, 크롭/보정 사실 표시, 변경한 이미지에 동일/호환 라이선스 적용","Gyuwon Lee (Sadopaul), Wikimedia Commons, CC BY-SA 4.0","Commons 개별 파일과 분류가 철원 노동당사로 명시. 실제 사진을 열어 중앙 아치와 3층 외벽·창문·정면 계단을 확인. 2026년 5월 촬영. iiurlwidth=1200 요청에 API 표시 크기는 1200px, 실제 공식 썸네일 URL은 1280px 버킷으로 반환됨. thumbnail_pixel_width는 HTTP 이미지 바이트에서 확인한 실제 크기.",/tmp/photo-west-labor-candidate.jpg,미수령; 사용자 최종 권리 검토 대상,이번 외부 조사 후보; 기존 TourAPI 이미지와 별도,/tmp/gunbeon-photo-west.json
west-03,적용 예정 후보,백마고지 전적지,Battle of White Horse / 백마고지 전승비와 위령비,백마고지 전승비와 위령비 사진으로 장소 일치. 원본 600×400이므로 작은 카드용; 워터마크 보존 권장.,ACROFAN,Wikimedia Commons,2011-12-21,2026-09-08,https://commons.wikimedia.org/wiki/File:Battle_of_White_Horse.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Battle_of_White_Horse.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Battle_of_White_Horse.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,"CC BY-SA 3.0, Wikimedia VRT 허가 확인",https://creativecommons.org/licenses/by-sa/3.0/,가능(조건 준수 필요),"ACROFAN 저작자표시와 출처/라이선스 링크, 변경 사실 표시, 변경 이미지 동일/호환 라이선스. 기존 워터마크 보존 권장.","ACROFAN, Wikimedia Commons, CC BY-SA 3.0",Commons 설명이 백마고지 전승비와 위령비로 명시. 사진을 열어 전면 자연석 위령비와 뒤쪽 두 갈래 전승비의 구도를 확인. 백마고지역 사진이 아님. VRT ticket 2012112610002772 표시. ACROFAN 일반 허가는 일부 편집국/뉴스/제3자 자료 예외가 있지만 이 파일에는 VRT 확인과 CC BY-SA 태그가 개별 적용됨. 600px 원본이라 작은 카드용. API는 thumbwidth=1200을 반환하지만 원본 600x400 파일을 thumbnail_unscaled로 반환. 실제 픽셀은 600x400이며 고해상도 썸네일이 아님.,/tmp/photo-west-horse-candidate.jpg,미수령; 사용자 최종 권리 검토 대상,이번 외부 조사 후보; 기존 TourAPI 이미지와 별도,/tmp/gunbeon-photo-west.json
west-06,적용 예정 후보,화천 평화의 댐,Peace Dam (2008년 대체 후보),2022년 사진 대신 벽화 없는 2008년 사진을 적용 예정으로 선정. 현재 외관과 다르므로 2008년 촬영 또는 옛 모습 표시 필요.,Baeksu,Wikimedia Commons,2008-11-08,2026-09-08,https://commons.wikimedia.org/wiki/File:Peace_Dam.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f1/Peace_Dam.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f1/Peace_Dam.jpg/1280px-Peace_Dam.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,CC BY-SA 3.0 또는 GFDL 중 선택 가능; 여기서는 CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,가능(조건 준수 필요),"저작자·출처·라이선스 표시, 변경 사실 표시, 변경 이미지 동일/호환 라이선스","Baeksu, Wikimedia Commons, CC BY-SA 3.0","Commons 개별 설명과 좌표가 화천 평화의 댐으로 확인. 사진을 열어 벽화가 없는 이전 제체 모습 확인. 2008년 촬영으로 현재 외관과 다름. 원본이 약간 흐리고 물 비중이 큼. 옛 모습이라는 표시가 적절. iiurlwidth=1200 요청에 API 표시 크기는 1200px, 실제 공식 썸네일 URL은 1280px 버킷으로 반환됨. thumbnail_pixel_width는 HTTP 이미지 바이트에서 확인한 실제 크기.",/tmp/photo-west-dam-2008.jpg,미수령; 사용자 최종 권리 검토 대상,이번 외부 조사 후보; 기존 TourAPI 이미지와 별도,/tmp/gunbeon-photo-west.json
east-07,적용 예정 후보,양구 두타연,두타연 1 (겨울 계곡),겨울 계곡 사진 적용 예정. 눈과 얼음이 있는 계절 사진으로 표시하며 여름 폭포 사진으로 설명하지 않음.,한국문화관광연구원 (개별 촬영자 미표기),한국문화관광연구원 / 공공누리,2014,2026-09-08,https://www.kogl.or.kr/recommend/recommendDivView.do?division=img&recommendIdx=2421,https://www.kogl.or.kr/upload_recommend/thumb_V/%EC%A7%80%EC%97%AD%EB%B3%84%EA%B4%80%EA%B4%91%EC%A7%80/%EA%B0%95%EC%9B%90%EB%8F%84/%EC%96%91%EA%B5%AC/thumb_%EB%91%90%ED%83%80%EC%97%B0_1.jpg,,,공공누리 제1유형,https://www.kogl.or.kr/open/info/license_info/by.do,가능(조건 준수 필요),"상세 페이지에 한국문화관광연구원 보유, 제1유형 출처표시 명시. 상업 이용 및 2차 변형 가능. 공개 상세 이미지 URL이며 원본 다운로드는 사이트 신청 절차 별도.","사진: 한국문화관광연구원, 두타연(2014), 공공누리 제1유형","직접 확인: 얼어붙은 계곡, 눈 덮인 산; 여름 폭포 사진 아님. 760×507 공개 미리보기.",/tmp/east-dutayeon.jpg,미수령; 사용자 최종 권리 검토 대상,이번 외부 조사 후보; 기존 TourAPI 이미지와 별도,/tmp/gunbeon-photo-east.json
east-10,적용 예정 후보,고성 왕곡마을,국가민속문화재제235호 고성 왕곡마을 1,전통 가옥과 주변 산·바다를 담은 항공사진으로 장소 일치. 적용 예정 후보.,강원특별자치도·한국문화정보원,강원특별자치도 / 공공누리,2018,2026-09-08,https://www.kogl.or.kr/recommend/recommendDivView.do?division=img&recommendIdx=8199,https://www.kogl.or.kr/upload_recommend/thumb_V/2018/%ED%95%AD%EA%B3%B5%EC%B4%AC%EC%98%81/thumb_B009-C009-0002-01_L.jpg,,,공공누리 제1유형,https://www.kogl.or.kr/open/info/license_info/by.do,가능(조건 준수 필요),"상세페이지: 강원특별자치도 보유, 제1유형 출처표시 명시. 상업 이용 및 2차 변형 가능.","사진: 강원특별자치도·한국문화정보원, 고성 왕곡마을(2018), 공공누리 제1유형",직접 확인: 산 사이 전통 가옥과 멀리 동해를 담은 항공사진. 760×507 미리보기.,/tmp/east-wanggok.jpg,미수령; 사용자 최종 권리 검토 대상,이번 외부 조사 후보; 기존 TourAPI 이미지와 별도,/tmp/gunbeon-photo-east.json
east-11,적용 예정 후보,고성 통일전망대,Goseong Unification Observatory Tower,전망대 조망 공간에서 북한 해안을 바라보는 방문객 뒷모습 사진을 적용 예정. 전망대 건물 외관 사진으로 설명하지 않음.,Pierre Boureau,Wikimedia Commons / Flickr pierbou,2022-05-07,2026-09-08,https://commons.wikimedia.org/wiki/File:Goseong_Unification_Observatory_Tower.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Goseong_Unification_Observatory_Tower.jpg,,,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,가능(조건 준수 필요),Commons 파일 페이지에 CC BY-SA 2.0 명시 및 2025-02-09 Flickr 라이선스 검토 확인. 크롭 시 변경 표시와 동일/호환 라이선스 필요.,"Pierre Boureau, Goseong Unification Observatory Tower (2022), CC BY-SA 2.0 / Wikimedia Commons",직접 확인: 전망대에서 북한 해안 쪽을 보는 방문객 뒷모습과 전망. 건물 외관 아님. 원본 4000×2667. 다운로드 시 User-Agent Mozilla/5.0 헤더로 성공.,/tmp/east-observatory.jpg,미수령; 사용자 최종 권리 검토 대상,이번 외부 조사 후보; 기존 TourAPI 이미지와 별도,/tmp/gunbeon-photo-east.json
west-02,보류 후보,철원 평화전망대,철원 평화 전망대 건물 전경,개별 메타데이터의 공공누리 1유형과 사이트 이용약관의 사용목적·재사용 재허가 조건 사이에 적용 관계가 불명확하여 보류. 촬영일 메타데이터도 상충.,개별 촬영자 미표기,대한민국역사박물관 현대사아카이브,"metadata prodDt=2009.9.14.; 목록 dataTime=2007, 자료 묶음 촬영연도=2016으로 상이하므로 화면에 촬영연도 단정 권장하지 않음",2026-09-08,https://archive.much.go.kr/data/01/folderView.do?idnbr=2018001956&jobdirSeq=891,https://archive.much.go.kr/archiveImage/service.do?idnbr=2018001956,https://archive.much.go.kr/archiveImage/thumb.do?idnbr=2018001956,,공공누리 제1유형 (개별 metadata koglcd=1 확인),https://www.kogl.or.kr/info/license.do,가능(조건 준수 필요),자료 제공처 명시. 원본 제작방향을 해치지 않는 범위에서 편집 가능(아카이브 이용약관).,"대한민국역사박물관 현대사아카이브, 공공누리 제1유형",개별 metadata 제목과 주소(철원군 동송읍 중강리 588-14) 확인. 사진 정면 간판 철원평화전망대 / Cheorwon Peace Observatory가 선명하게 보임. 다운로드 이용약관에 활용정보 입력 및 목적 외 이용/재사용 재허가 문구가 함께 있음. KOGL 1유형 개별 표기와 이 약관의 적용 관계를 최종 권리검토 때 확인.,/tmp/photo-west-observatory.png,미수령; 사용자 최종 권리 검토 대상,이번 외부 조사 후보; 기존 TourAPI 이미지와 별도,/tmp/gunbeon-photo-west.json
west-04,보류 후보,화천 평화의 댐,Peace Dam 2022,2022년 사진은 중앙 트릭아트 벽화가 포함되어 사진 라이선스와 별개인 작품 권리 검토가 남음. 이번에는 벽화 없는 2008년 후보를 선정.,Iolaire,Wikimedia Commons,2022-05-05,2026-09-08,https://commons.wikimedia.org/wiki/File:Peace_Dam_2022.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Peace_Dam_2022.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/84/Peace_Dam_2022.jpg/1280px-Peace_Dam_2022.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,가능(조건 준수 필요),"저작자·출처·라이선스 표시, 변경 사실 표시, 변경 이미지 동일/호환 라이선스","Iolaire, Wikimedia Commons, CC BY-SA 4.0","Commons 설명은 하류에서 바라본 평화의 댐. 화천 Peace Dam 분류와 사진의 제체 형태를 확인. 댐 중앙 트릭아트 벽화가 포함됨. 사진 자체의 CC BY-SA와 별개로 벽화가 포함된 최종 사용은 사용자 권리검토 대상으로 남김. 벽화 없는 2008년 대체 후보도 동봉. iiurlwidth=1200 요청에 API 표시 크기는 1200px, 실제 공식 썸네일 URL은 1280px 버킷으로 반환됨. thumbnail_pixel_width는 HTTP 이미지 바이트에서 확인한 실제 크기.",/tmp/photo-west-dam-candidate.jpg,미수령; 사용자 최종 권리 검토 대상,이번 외부 조사 후보; 기존 TourAPI 이미지와 별도,/tmp/gunbeon-photo-west.json
west-05,보류 후보,한탄강 주상절리길,철원 한탄강 주상절리길 관광객 300만명 돌파 보도자료 첨부 사진,사진의 장소는 한탄강 주상절리길 잔도이며 순담계곡 장소 노드와 별개의 대상. 순담계곡 대표사진으로 자동 대체하지 않고 이번 적용에서 보류.,개별 촬영자 미표기,철원군,게시일 2026-03-03,2026-09-08,https://www.cwg.go.kr/www/selectBbsNttView.do?bbsNo=32&key=218&nttNo=268194,,,https://www.cwg.go.kr/www/downloadBbsFile.do?atchmnflNo=164209&bbsNo=32&nttNo=268194,공공누리 제1유형 (원문 보도자료 페이지 표기),https://www.kogl.or.kr/info/license.do,가능(조건 준수 필요),철원군·보도자료 출처 표시. 최종 검토 시 첨부 사진에 별도 제3자 권리표시가 있는지 원문 함께 확인.,"철원군, 공공누리 제1유형",철원군의 주상절리길 보도자료 HWP 내부 사진을 직접 추출해 확인. 절벽에 붙은 은색 잔도와 굽어가는 협곡 전경. 공식 관광페이지 또한 같은 장소를 설명. 개별 JPG HTTP 주소는 없으며 HWP 첨부에서 원 JPEG를 무가공 추출. 공개적용 시 로컬 JPEG를 사용하는 후보. 관광페이지 296x178 썸네일은 별도 KOGL 표시 없어 채택하지 않음.,/tmp/photo-west-hantan-BIN0001.jpg,미수령; 사용자 최종 권리 검토 대상,이번 외부 조사 후보; 기존 TourAPI 이미지와 별도,/tmp/gunbeon-photo-west.json
east-08,보류 후보,양구 박수근미술관,박수근미술관 전경1,현재 앱에 정확히 일치하는 장소 노드가 없어 이번 적용에서 보류. 박수근마을 안내벽과 미술관 부속 건물 사진이며 다른 양구 장소로 대체 배치하지 않음.,개별 촬영자 미표기,문화체육관광부·한국문화관광연구원 관광지식정보시스템,촬영일 미표기,2026-09-08,https://know.tour.go.kr/dbservice/reso/detail19Re.do?res_cd=4280-C-15095&res_type=C,https://www.tour.go.kr/FileSystem/Resource/image_datas/42/4280/C/4280-C-15095_01.jpg,,,공공누리 제1유형 (사진 전용 안내와 by.do 라이선스 링크),https://www.kogl.or.kr/open/info/license_info/by.do,가능(조건 준수 필요),페이지 HTML 1414~1417: 본 사진 저작물은 공공누리 조건에 따라 누구나 이용 가능. rel=license 링크가 /by.do. 고해상도는 공공데이터 신청절차로 무료 이용 가능.,"사진: 한국문화관광연구원 관광지식정보시스템, 박수근미술관 전경1, 공공누리 제1유형","직접 확인: 박수근마을 안내벽과 미술관 부속 건물, 전시장 작품 근접촬영 아님. 1017×681.",/tmp/east-museum.jpg,미수령; 사용자 최종 권리 검토 대상,이번 외부 조사 후보; 기존 TourAPI 이미지와 별도,/tmp/gunbeon-photo-east.json
